full_state,num_museums,state,population,per_museum,per_person,history_museum,"arboretum,_botanical_garden,_or_nature_center",science_&_technology_museum_or_planetarium,historic_preservation,general_museum,"zoo,_aquarium,_or_wildlife_conservation",art_museum,children's_museum,natural_history_museum
Alabama,463,Alabama,4888949,10559.285097192225,9.470338103342866e-05,40.0,16.0,23.0,192.0,127.0,6.0,48.0,4.0,7.0
Alaska,162,Alaska,738068,4555.975308641975,0.00021949197092950784,14.0,10.0,4.0,72.0,43.0,4.0,11.0,2.0,2.0
Arizona,449,Arizona,7123898,15866.1425389755,6.30272920808243e-05,26.0,21.0,21.0,176.0,114.0,13.0,62.0,9.0,7.0
Arkansas,316,Arkansas,3020327,9557.996835443038,0.00010462443304979891,28.0,13.0,10.0,120.0,103.0,4.0,34.0,3.0,1.0
California,2662,California,39776830,14942.460555972953,6.692338228058898e-05,197.0,135.0,95.0,948.0,784.0,46.0,343.0,66.0,48.0
Colorado,649,Colorado,5684203,8758.402157164868,0.0001141760771035095,42.0,27.0,28.0,259.0,191.0,12.0,66.0,12.0,12.0
Connecticut,541,Connecticut,3588683,6633.425138632163,0.00015075168244172026,24.0,21.0,23.0,289.0,119.0,4.0,40.0,14.0,7.0
Delaware,131,Delaware,971180,7413.587786259542,0.0001348874564962211,4.0,13.0,3.0,64.0,27.0,3.0,13.0,1.0,3.0
District of Columbia,190,District of Columbia,703608,3703.2,0.00027003672499459927,10.0,15.0,5.0,40.0,95.0,1.0,23.0,1.0,0.0
Florida,1146,Florida,21312211,18597.042757417104,5.377199015156147e-05,73.0,71.0,57.0,421.0,311.0,41.0,134.0,22.0,16.0
Georgia,664,Georgia,10545138,15881.231927710844,6.296740734924474e-05,44.0,32.0,32.0,277.0,184.0,8.0,71.0,8.0,8.0
Hawaii,176,Hawaii,1426393,8104.505681818182,0.00012338815459694488,10.0,21.0,8.0,48.0,55.0,10.0,18.0,3.0,3.0
Idaho,214,Idaho,1753860,8195.607476635514,0.00012201658057085514,11.0,9.0,8.0,106.0,46.0,7.0,22.0,2.0,3.0
Illinois,1310,Illinois,12768320,9746.809160305344,0.00010259767925615899,83.0,64.0,29.0,622.0,338.0,17.0,121.0,26.0,10.0
Indiana,685,Indiana,6699629,9780.480291970804,0.00010224446756678616,53.0,25.0,17.0,321.0,188.0,9.0,54.0,11.0,7.0
Iowa,658,Iowa,3160553,4803.272036474164,0.00020819141460371018,43.0,22.0,11.0,352.0,148.0,5.0,67.0,5.0,5.0
Kansas,537,Kansas,2918515,5434.851024208566,0.00018399768375355275,34.0,15.0,16.0,275.0,137.0,13.0,31.0,6.0,10.0
Kentucky,466,Kentucky,4472265,9597.135193133046,0.00010419776108973864,34.0,29.0,20.0,203.0,123.0,5.0,41.0,5.0,6.0
Louisiana,393,Louisiana,4682509,11914.78117048346,8.392936351003276e-05,34.0,21.0,16.0,128.0,129.0,10.0,40.0,11.0,4.0
Maine,521,Maine,1341582,2575.013435700576,0.00038834748826385566,22.0,16.0,13.0,323.0,105.0,5.0,28.0,5.0,4.0
Maryland,618,Maryland,6079602,9837.543689320388,0.00010165139099566056,44.0,28.0,19.0,272.0,176.0,6.0,66.0,6.0,1.0
Massachusetts,1024,Massachusetts,6895917,6734.2939453125,0.0001484936666146069,55.0,34.0,26.0,521.0,227.0,11.0,122.0,17.0,11.0
Michigan,1038,Michigan,9991177,9625.411368015415,0.00010389166361480735,63.0,63.0,30.0,541.0,214.0,19.0,80.0,18.0,10.0
Minnesota,679,Minnesota,5628162,8288.898379970546,0.00012064329349439479,42.0,28.0,11.0,365.0,135.0,10.0,74.0,8.0,6.0
Mississippi,245,Mississippi,2982785,12174.632653061224,8.213800190090804e-05,19.0,5.0,4.0,104.0,72.0,5.0,29.0,6.0,1.0
Missouri,740,Missouri,6135888,8291.74054054054,0.00012060194058300934,43.0,16.0,11.0,369.0,206.0,14.0,68.0,5.0,8.0
Montana,270,Montana,1062330,3934.5555555555557,0.00025415831238880573,29.0,7.0,11.0,105.0,70.0,6.0,29.0,7.0,6.0
Nebraska,347,Nebraska,1932549,5569.305475504323,0.00017955560247114044,21.0,18.0,11.0,163.0,89.0,10.0,26.0,6.0,3.0
Nevada,173,Nevada,3056824,17669.50289017341,5.659468781977634e-05,14.0,9.0,8.0,57.0,60.0,6.0,16.0,2.0,1.0
New Hampshire,363,New Hampshire,1350575,3720.592286501377,0.0002687744108990615,18.0,8.0,11.0,238.0,60.0,3.0,19.0,6.0,0.0
New Jersey,756,New Jersey,9032872,11948.243386243386,8.369431117810592e-05,42.0,37.0,17.0,424.0,149.0,7.0,65.0,9.0,6.0
New Mexico,320,New Mexico,2090708,6533.4625,0.00015305819846673949,25.0,7.0,19.0,95.0,116.0,7.0,37.0,4.0,10.0
New York,2235,New York,19862512,8887.029977628636,0.00011252353176677754,140.0,96.0,64.0,1056.0,546.0,37.0,248.0,33.0,15.0
North Carolina,779,North Carolina,10390149,13337.803594351733,7.497486320937265e-05,65.0,39.0,39.0,330.0,192.0,9.0,81.0,18.0,6.0
North Dakota,269,North Dakota,755238,2807.5762081784387,0.00035617911175020325,8.0,3.0,4.0,157.0,67.0,6.0,20.0,3.0,1.0
Ohio,1362,Ohio,11694664,8586.3906020558,0.00011646337167104587,79.0,62.0,47.0,727.0,292.0,19.0,118.0,12.0,6.0
Oklahoma,538,Oklahoma,3940521,7324.388475836431,0.00013653016948774033,37.0,10.0,16.0,213.0,200.0,9.0,36.0,10.0,7.0
Oregon,546,Oregon,4199563,7691.507326007326,0.00013001352759799055,35.0,27.0,14.0,235.0,161.0,6.0,52.0,8.0,8.0
Pennsylvania,1653,Pennsylvania,12823989,7758.0090744101635,0.00012889905005377032,113.0,77.0,45.0,861.0,358.0,21.0,159.0,10.0,9.0
Rhode Island,181,Rhode Island,1061712,5865.812154696133,0.00017047937670479376,14.0,7.0,4.0,91.0,35.0,5.0,21.0,1.0,3.0
South Carolina,388,South Carolina,5088916,13115.762886597939,7.624413529325302e-05,30.0,17.0,16.0,154.0,113.0,10.0,36.0,9.0,3.0
South Dakota,234,South Dakota,877790,3751.2393162393164,0.00026657856662755326,18.0,4.0,7.0,96.0,72.0,8.0,25.0,1.0,3.0
Tennessee,556,Tennessee,6782564,12198.856115107914,8.197489916792528e-05,47.0,28.0,20.0,217.0,171.0,8.0,50.0,11.0,4.0
Texas,1884,Texas,28704330,15235.843949044585,6.563469692551612e-05,198.0,82.0,61.0,648.0,645.0,39.0,168.0,26.0,17.0
Utah,170,Utah,3159345,18584.382352941175,5.380862172380668e-05,11.0,18.0,11.0,35.0,55.0,6.0,20.0,4.0,10.0
Vermont,292,Vermont,623960,2136.849315068493,0.00046797871658439645,15.0,10.0,10.0,182.0,51.0,1.0,17.0,2.0,4.0
Virginia,956,Virginia,8525660,8918.05439330544,0.00011213208126995446,94.0,45.0,34.0,409.0,257.0,10.0,88.0,14.0,5.0
Washington,721,Washington,7530552,10444.59361997226,9.574331337198123e-05,57.0,40.0,24.0,298.0,186.0,11.0,81.0,17.0,7.0
West Virginia,258,West Virginia,1803077,6988.670542635659,0.00014308873109689714,21.0,5.0,13.0,121.0,69.0,1.0,24.0,3.0,1.0
Wisconsin,887,Wisconsin,5818049,6559.243517474633,0.00015245660529844283,41.0,44.0,24.0,476.0,188.0,20.0,76.0,14.0,4.0
Wyoming,191,Wyoming,573720,3003.7696335078535,0.0003329150108066653,19.0,12.0,7.0,50.0,77.0,2.0,16.0,5.0,3.0
